file,reason,confidence
curated\kamar-tidur\2022-02-21_CaOKM1HphW0,unggahan-satu-foto,-
curated\kamar-tidur\2022-02-24_CaWxCmaJ1Jz,unggahan-satu-foto,-
curated\kamar-tidur\2022-02-25_CaYkDNYpb4u,unggahan-satu-foto,-
curated\kamar-tidur\2022-02-27_Cadt_nMJ1Nw,unggahan-satu-foto,-
curated\kamar-tidur\2022-03-07_CayK04fpiRO,unggahan-satu-foto,-
curated\kamar-tidur\2022-05-18_CdsqmzUJPCF,unggahan-satu-foto,-
curated\kamar-tidur\2022-05-19_CduQhBlpnE1,unggahan-satu-foto,-
curated\kamar-tidur\2022-05-24_Cd7j1vCpUMn,unggahan-satu-foto,-
curated\kamar-tidur\2022-06-25_CfN_yodJun9,unggahan-satu-foto,-
curated\kamar-tidur\2022-07-15_CgBbiDpJnyw,unggahan-satu-foto,-
curated\kamar-tidur\2022-07-19_CgLNnvxpCvW,unggahan-satu-foto,-
curated\kamar-tidur\2022-12-22_CmdJwPqJSbm,unggahan-satu-foto,-
curated\kamar-tidur\2022-12-22_CmdJyOmJBO8,unggahan-satu-foto,-
curated\kamar-tidur\2023-02-06_CoUeWAgJFFE,unggahan-satu-foto,-
curated\kamar-tidur\2023-07-19_Cu4J8oox0FS,unggahan-satu-foto,-
curated\kamar-tidur\2023-07-27_CvMWqPoR1WY,unggahan-satu-foto,-
curated\kamar-tidur\2023-10-03_Cx7P0NeRVr-,unggahan-satu-foto,-
curated\kamar-tidur\2026-01-12_DTZywA9kweL,unggahan-satu-foto,-
curated\ruang-keluarga\2022-01-04_CYTCmFAJsT_,unggahan-satu-foto,-
curated\ruang-keluarga\2022-01-20_CY8Qn1GJxF1,unggahan-satu-foto,-
curated\ruang-keluarga\2023-10-19_CykN1PjxpCW,unggahan-satu-foto,-
curated\ruang-keluarga\2023-10-19_CykNp7dx9f2,unggahan-satu-foto,-
curated\ruang-keluarga\2023-10-19_CykPs-oxndw,unggahan-satu-foto,-
curated\ruang-kerja\2023-03-31_CqdHH99p_E1,unggahan-satu-foto,-
curated\ruang-makan\2022-01-18_CY26XnYJXVl,unggahan-satu-foto,-
curated\ruang-makan\2022-01-21_CY-XyqwJl29,unggahan-satu-foto,-
curated\ruang-makan\2022-03-14_CbFb5mMpUg-,unggahan-satu-foto,-
curated\ruang-usaha\2021-12-30_CYGPEahp4lM,unggahan-satu-foto,-
curated\ruang-usaha\2022-01-05_CYVLtd-ps00,unggahan-satu-foto,-
