post,file,classification,destination_category,confidence,action
2022-02-01_CZbQ5glJwes,daikuinterior_CZbQ5glJwes_0.jpg,ruang-usaha,ruang-usaha,0.908,moved
2022-02-01_CZbQ5glJwes,daikuinterior_CZbQ5glJwes_1.jpg,ruang-usaha,ruang-usaha,0.5998,moved
2022-02-01_CZbQ5glJwes,daikuinterior_CZbQ5glJwes_2.jpg,ruang-usaha,ruang-usaha,0.8028,moved
2022-02-01_CZbQ5glJwes,daikuinterior_CZbQ5glJwes_3.jpg,ruang-usaha,ruang-usaha,0.8178,moved
2022-02-01_CZbQ5glJwes,daikuinterior_CZbQ5glJwes_4.jpg,ruang-usaha,ruang-usaha,0.9307,moved
2022-02-01_CZbQ5glJwes,daikuinterior_CZbQ5glJwes_5.jpg,ruang-kerja,ruang-usaha,0.396,moved
2022-02-01_CZbQ5glJwes,daikuinterior_CZbQ5glJwes_6.jpg,ruang-usaha,ruang-usaha,0.4364,moved
2022-02-01_CZbQ5glJwes,daikuinterior_CZbQ5glJwes_7.jpg,ruang-usaha,ruang-usaha,0.5511,moved
2022-02-02_CZd7_yhpJb6,daikuinterior_CZd7_yhpJb6_0.jpg,furnitur-detail,furnitur-detail,0.8733,moved
2022-02-02_CZdwHokpq_Y,daikuinterior_CZdwHokpq_Y_0.jpg,furnitur-detail,furnitur-detail,0.9641,moved
2022-02-02_CZdwJompRqD,daikuinterior_CZdwJompRqD_0.jpg,furnitur-detail,furnitur-detail,0.6023,moved
2022-02-02_CZdwNLiJh6S,daikuinterior_CZdwNLiJh6S_0.jpg,furnitur-detail,furnitur-detail,0.514,moved
2022-02-02_CZdZKe9p_mw,daikuinterior_CZdZKe9p_mw_0.jpg,furnitur-detail,furnitur-detail,0.4754,moved
2022-02-02_CZdZN4sJNon,daikuinterior_CZdZN4sJNon_0.jpg,ruang-usaha,ruang-usaha,0.6112,moved
2022-02-05_CZlLnHmpfrR,daikuinterior_CZlLnHmpfrR_0.jpg,furnitur-detail,furnitur-detail,0.4154,moved
2022-02-05_CZlLnHmpfrR,daikuinterior_CZlLnHmpfrR_1.jpg,furnitur-detail,furnitur-detail,0.3524,moved
2022-02-05_CZlLnHmpfrR,daikuinterior_CZlLnHmpfrR_2.jpg,kamar-tidur,furnitur-detail,0.5454,moved
2022-02-07_CZqFGnrpYUN,daikuinterior_CZqFGnrpYUN_0.jpg,furnitur-detail,furnitur-detail,0.9275,moved
2022-02-07_CZqFHwSJFhX,daikuinterior_CZqFHwSJFhX_0.jpg,furnitur-detail,furnitur-detail,0.6658,moved
2022-02-08_CZs74Nap7VO,daikuinterior_CZs74Nap7VO_0.jpg,ruang-usaha,ruang-usaha,0.6878,moved
